Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
ls4,-0.00528451978484214,0.00509171594747023,0.00249999999999999,0,0,0,2.65475633543081E-05,2.78635017566837E-10,3.50367571275465E-11,-3.60711355458789E-27,6.18321023928214E-11,4.28746136281905E-26,2.29852272650041E-10,0,0,0,0,0,0,package://real_car/meshes/ls4.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/ls4.STL,,wheel_soft_part-7,Origin_ls4,,ls4,fixed,0,0,0,0,0,0,lb,0,0,0,,,,,,,,,,,,
l41,-0.0062116177469588,0.00204351624207069,0.0025,0,0,0,1.5932291666647E-05,3.65100666164905E-11,-7.66754062161382E-13,-1.71575887873068E-27,3.81508764807895E-11,6.91776187676686E-28,8.27639448625058E-12,0,0,0,0,0,0,package://real_car/meshes/l41.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/l41.STL,,wheel_hard_1-6,Origin_l41,,l41,fixed,0,0,0,0,0,0,ls4,0,0,0,,,,,,,,,,,,
l42,-0.00611092708778171,0.00419933857679177,0.0025,0,0,0,1.15299479166699E-05,2.64618315913078E-11,-4.15298069981523E-13,1.9198980702464E-27,2.58785618371162E-11,8.0329696014009E-28,4.2989437756326E-12,0,0,0,0,0,0,package://real_car/meshes/l42.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/l42.STL,,wheel_hard_2-7,Origin_l42,,l42,fixed,0,0,0,0,0,0,ls4,0,0,0,,,,,,,,,,,,
l43,-0.00614266566829453,0.00632986330314546,0.0025,0,0,0,7.12760416665123E-06,1.63479264992618E-11,-1.02250148486114E-13,5.48553958650957E-28,1.52849552371794E-11,-2.56162410640345E-28,1.93453104206101E-12,0,0,0,0,0,0,package://real_car/meshes/l43.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/l43.STL,,wheel_hard_3-1,Origin_l43,,l43,fixed,0,0,0,0,0,0,ls4,0,0,0,,,,,,,,,,,,
l44,-0.00624183898977252,0.00815314698806034,0.0025,0,0,0,2.89773207859234E-06,6.37231032450357E-12,2.90227817683524E-14,-6.20102868658803E-30,6.08740596689972E-12,2.2417005965038E-28,3.85832630601844E-13,0,0,0,0,0,0,package://real_car/meshes/l44.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/l44.STL,,wheel_hard_4-6,Origin_l44,,l44,fixed,0,0,0,0,0,0,ls4,0,0,0,,,,,,,,,,,,
rb,7.1629223215991E-08,-2.83454133153619E-08,-0.00249998841847457,0,0,0,0.000506553364861363,7.29246193922965E-09,1.98681003589206E-14,2.95895923367271E-14,7.29577514686126E-09,-2.8717094858962E-14,1.24776320220825E-08,0,0,0,0,0,0,package://real_car/meshes/rb.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/rb.STL,,wheel_hard_base-1,Origin_rb,Axis_rb,rb,continuous,-0.01731,0.010402,0.00254,1.5708,0.053668,0,base_link,0,0,1,,,,,,,,,,,,
rs1,-0.00528451978484214,0.00509171594746946,0.0025,0,0,0,2.65475633543081E-05,2.78635017566837E-10,3.50367571275464E-11,-4.1838420902641E-27,6.18321023928214E-11,8.22936440214244E-27,2.29852272650042E-10,0,0,0,0,0,0,package://real_car/meshes/rs1.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/rs1.STL,,wheel_soft_part-2,Origin_rs1,,rs1,fixed,0,0,-0.005,0,0,-1.5708,rb,0,0,0,,,,,,,,,,,,
r11,-0.00621161774695879,0.0020435162420701,0.0025,0,0,0,1.5932291666647E-05,3.65100666164905E-11,-7.66754062161368E-13,1.15923587371108E-27,3.81508764807895E-11,-3.31496048998601E-29,8.27639448625057E-12,0,0,0,0,0,0,package://real_car/meshes/r11.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/r11.STL,,wheel_hard_1-1,Origin_r11,,r11,fixed,0,0,0,0,0,0,rs1,0,0,0,,,,,,,,,,,,
r12,-0.00611092708778168,0.00419933857679097,0.0025,0,0,0,1.15299479166699E-05,2.64618315913078E-11,-4.15298069981528E-13,4.76976666521945E-28,2.58785618371161E-11,-4.16154485309091E-28,4.29894377563259E-12,0,0,0,0,0,0,package://real_car/meshes/r12.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/r12.STL,,wheel_hard_2-2,Origin_r12,,r12,fixed,0,0,0,0,0,0,rs1,0,0,0,,,,,,,,,,,,
r13,-0.00614266566829448,0.00632986330314467,0.0025,0,0,0,7.12760416665125E-06,1.63479264992619E-11,-1.02250148486123E-13,-6.44369315730363E-29,1.52849552371794E-11,-2.02427364642806E-27,1.93453104206103E-12,0,0,0,0,0,0,package://real_car/meshes/r13.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/r13.STL,,wheel_hard_3-6,Origin_r13,,r13,fixed,0,0,0,0,0,0,rs1,0,0,0,,,,,,,,,,,,
r14,-0.00624183898977244,0.00815314698805992,0.0025,0,0,0,2.89773207859236E-06,6.37231032450358E-12,2.9022781768346E-14,-3.78503661891042E-28,6.08740596689974E-12,3.41616188438868E-28,3.85832630601827E-13,0,0,0,0,0,0,package://real_car/meshes/r14.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/r14.STL,,wheel_hard_4-4,Origin_r14,,r14,fixed,0,0,0,0,0,0,rs1,0,0,0,,,,,,,,,,,,
rs2,-0.00528451978484126,0.00509171594747033,0.0025,0,0,0,2.65475633543081E-05,2.78635017566838E-10,3.5036757127545E-11,-3.97766139525933E-27,6.1832102392821E-11,4.44941018725586E-26,2.29852272650042E-10,0,0,0,0,0,0,package://real_car/meshes/rs2.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/rs2.STL,,wheel_soft_part-5,Origin_rs2,,rs2,fixed,0,0,-0.005,0,0,-3.1416,rb,0,0,0,,,,,,,,,,,,
r21,-0.00621161774695778,0.00204351624207224,0.0025,0,0,0,1.5932291666647E-05,3.65100666164905E-11,-7.66754062161368E-13,1.09701929443736E-28,3.81508764807895E-11,4.78281653644758E-28,8.27639448625057E-12,0,0,0,0,0,0,package://real_car/meshes/r21.STL,0.384313725490196,0.384313725490196,0.384313725490196,1,0,0,0,0,0,0,package://real_car/meshes/r21.STL,,wheel_hard_1-2,Origin_r21,,r21,fixed,0,0,0,0,0,0,rs2,0,0,0,,,,,,,,,,,,
